geo_accession,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
GSM3516662,MSK_LX653_PRIMARY_TUMOUR,Public on Jan 14 2020,Dec 16 2018,Jan 14 2020,SRA,1,Patient primary lung adenocarcinoma,Homo sapiens,9606,tissue: Patient primary lung adenocarcinoma,polyA RNA,"Non-involved lung, tumour tissues, and metastatic lesions were obtained from patients with lung adenocarcinoma undergoing resection surgery at Memorial Sloan Kettering Cancer Center (MSKCC, New York, NY) after obtaining informed consent. Tissue samples were immediately placed in RPMI media (Corning) or Hypothermosol on ice and dissociated using both mechanical and enzymatic digestion (Human Tumour Dissociation Kit #130-095-929, Miltenyi Biotec), generally within 1 h of surgical resection. Tissues were minced with a razor blade in the Miltenyi enzyme mix according to the manufacturer’s specifications and transferred to a Gentle MACS Octo Dissociator with heaters (# 30-096-427, 37°C) for further mechanical dissociation. Upon completion, cell suspensions were passed through a 70 µm filter and washed twice with FACS buffer (2% heat-inactivated FBS, 1 mM EDTA and Pen/Strep in PBS without Ca or Mg). Red blood cells were lysed in Red Blood Cell Lysis Solution (ACK lysis buffer) once or twice depending on red blood cell content, and final single-cell suspensions were made in Hanks’ Balanced Salt Solution (HBSS). For scRNA-seq, the remaining cell suspensions were subsequently flow sorted with a BD FACSAria II cell sorter fitted with a 100 µM nozzle to enrich for viable, single cells according to forward and side scattering, and DAPI exclusion. Cells were sorted directly into RPMI media with 10% FBS, washed thrice and re-suspend in PBS with 0.04% BSA for single cell encapsulation.",Barcoded single cells,"The Sequence Quality Control (SEQC) package18 was utilized for de-multiplexing, STAR alignment, implementation of cell barcode and multi-alignment correction, and the generation of a raw digital expression matrix by collapsing groups of reads with the same unique molecular identifier (UMI), cell barcode and gene annotation. Alignment to the hg38 annotation was restricted to transcribed, polyadenylated RNA of length > 200 nucleotides (gene biotypes accessible by 3’ mRNA sequencing technologies) to increase mapping specificity.",GPL16791,"Ashley,M,Laughney",ashley.laughney@gmail.com,Laughney Lab,"Physiology, Biophysics and Systems Biology",Weill Cornell Medicine,413 East 69th Street,NEW YORK,New York,10021,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10600753,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3516nnn/GSM3516662/suppl/GSM3516662_MSK_LX653_PRIMARY_TUMOUR_dense.csv.gz,GSE123902,0
GSM3516663,MSK_LX661_PRIMARY_TUMOUR,Public on Jan 14 2020,Dec 16 2018,Jan 14 2020,SRA,1,Patient primary lung adenocarcinoma,Homo sapiens,9606,tissue: Patient primary lung adenocarcinoma,polyA RNA,"Non-involved lung, tumour tissues, and metastatic lesions were obtained from patients with lung adenocarcinoma undergoing resection surgery at Memorial Sloan Kettering Cancer Center (MSKCC, New York, NY) after obtaining informed consent. Tissue samples were immediately placed in RPMI media (Corning) or Hypothermosol on ice and dissociated using both mechanical and enzymatic digestion (Human Tumour Dissociation Kit #130-095-929, Miltenyi Biotec), generally within 1 h of surgical resection. Tissues were minced with a razor blade in the Miltenyi enzyme mix according to the manufacturer’s specifications and transferred to a Gentle MACS Octo Dissociator with heaters (# 30-096-427, 37°C) for further mechanical dissociation. Upon completion, cell suspensions were passed through a 70 µm filter and washed twice with FACS buffer (2% heat-inactivated FBS, 1 mM EDTA and Pen/Strep in PBS without Ca or Mg). Red blood cells were lysed in Red Blood Cell Lysis Solution (ACK lysis buffer) once or twice depending on red blood cell content, and final single-cell suspensions were made in Hanks’ Balanced Salt Solution (HBSS). For scRNA-seq, the remaining cell suspensions were subsequently flow sorted with a BD FACSAria II cell sorter fitted with a 100 µM nozzle to enrich for viable, single cells according to forward and side scattering, and DAPI exclusion. Cells were sorted directly into RPMI media with 10% FBS, washed thrice and re-suspend in PBS with 0.04% BSA for single cell encapsulation.",Barcoded single cells,"The Sequence Quality Control (SEQC) package18 was utilized for de-multiplexing, STAR alignment, implementation of cell barcode and multi-alignment correction, and the generation of a raw digital expression matrix by collapsing groups of reads with the same unique molecular identifier (UMI), cell barcode and gene annotation. Alignment to the hg38 annotation was restricted to transcribed, polyadenylated RNA of length > 200 nucleotides (gene biotypes accessible by 3’ mRNA sequencing technologies) to increase mapping specificity.",GPL16791,"Ashley,M,Laughney",ashley.laughney@gmail.com,Laughney Lab,"Physiology, Biophysics and Systems Biology",Weill Cornell Medicine,413 East 69th Street,NEW YORK,New York,10021,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10600752,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3516nnn/GSM3516663/suppl/GSM3516663_MSK_LX661_PRIMARY_TUMOUR_dense.csv.gz,GSE123902,0
GSM3516664,MSK_LX666_METASTASIS,Public on Jan 14 2020,Dec 16 2018,Jan 14 2020,SRA,1,Patient primary lung adenocarcinoma metastasis to BONE,Homo sapiens,9606,tissue: Patient primary lung adenocarcinoma metastasis to BONE,polyA RNA,"Non-involved lung, tumour tissues, and metastatic lesions were obtained from patients with lung adenocarcinoma undergoing resection surgery at Memorial Sloan Kettering Cancer Center (MSKCC, New York, NY) after obtaining informed consent. Tissue samples were immediately placed in RPMI media (Corning) or Hypothermosol on ice and dissociated using both mechanical and enzymatic digestion (Human Tumour Dissociation Kit #130-095-929, Miltenyi Biotec), generally within 1 h of surgical resection. Tissues were minced with a razor blade in the Miltenyi enzyme mix according to the manufacturer’s specifications and transferred to a Gentle MACS Octo Dissociator with heaters (# 30-096-427, 37°C) for further mechanical dissociation. Upon completion, cell suspensions were passed through a 70 µm filter and washed twice with FACS buffer (2% heat-inactivated FBS, 1 mM EDTA and Pen/Strep in PBS without Ca or Mg). Red blood cells were lysed in Red Blood Cell Lysis Solution (ACK lysis buffer) once or twice depending on red blood cell content, and final single-cell suspensions were made in Hanks’ Balanced Salt Solution (HBSS). For scRNA-seq, the remaining cell suspensions were subsequently flow sorted with a BD FACSAria II cell sorter fitted with a 100 µM nozzle to enrich for viable, single cells according to forward and side scattering, and DAPI exclusion. Cells were sorted directly into RPMI media with 10% FBS, washed thrice and re-suspend in PBS with 0.04% BSA for single cell encapsulation.",Barcoded single cells,"The Sequence Quality Control (SEQC) package18 was utilized for de-multiplexing, STAR alignment, implementation of cell barcode and multi-alignment correction, and the generation of a raw digital expression matrix by collapsing groups of reads with the same unique molecular identifier (UMI), cell barcode and gene annotation. Alignment to the hg38 annotation was restricted to transcribed, polyadenylated RNA of length > 200 nucleotides (gene biotypes accessible by 3’ mRNA sequencing technologies) to increase mapping specificity.",GPL16791,"Ashley,M,Laughney",ashley.laughney@gmail.com,Laughney Lab,"Physiology, Biophysics and Systems Biology",Weill Cornell Medicine,413 East 69th Street,NEW YORK,New York,10021,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10600751,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3516nnn/GSM3516664/suppl/GSM3516664_MSK_LX666_METASTASIS_dense.csv.gz,GSE123902,0
GSM3516665,MSK_LX675_PRIMARY_TUMOUR,Public on Jan 14 2020,Dec 16 2018,Jan 14 2020,SRA,1,Patient primary lung adenocarcinoma,Homo sapiens,9606,tissue: Patient primary lung adenocarcinoma,polyA RNA,"Non-involved lung, tumour tissues, and metastatic lesions were obtained from patients with lung adenocarcinoma undergoing resection surgery at Memorial Sloan Kettering Cancer Center (MSKCC, New York, NY) after obtaining informed consent. Tissue samples were immediately placed in RPMI media (Corning) or Hypothermosol on ice and dissociated using both mechanical and enzymatic digestion (Human Tumour Dissociation Kit #130-095-929, Miltenyi Biotec), generally within 1 h of surgical resection. Tissues were minced with a razor blade in the Miltenyi enzyme mix according to the manufacturer’s specifications and transferred to a Gentle MACS Octo Dissociator with heaters (# 30-096-427, 37°C) for further mechanical dissociation. Upon completion, cell suspensions were passed through a 70 µm filter and washed twice with FACS buffer (2% heat-inactivated FBS, 1 mM EDTA and Pen/Strep in PBS without Ca or Mg). Red blood cells were lysed in Red Blood Cell Lysis Solution (ACK lysis buffer) once or twice depending on red blood cell content, and final single-cell suspensions were made in Hanks’ Balanced Salt Solution (HBSS). For scRNA-seq, the remaining cell suspensions were subsequently flow sorted with a BD FACSAria II cell sorter fitted with a 100 µM nozzle to enrich for viable, single cells according to forward and side scattering, and DAPI exclusion. Cells were sorted directly into RPMI media with 10% FBS, washed thrice and re-suspend in PBS with 0.04% BSA for single cell encapsulation.",Barcoded single cells,"The Sequence Quality Control (SEQC) package18 was utilized for de-multiplexing, STAR alignment, implementation of cell barcode and multi-alignment correction, and the generation of a raw digital expression matrix by collapsing groups of reads with the same unique molecular identifier (UMI), cell barcode and gene annotation. Alignment to the hg38 annotation was restricted to transcribed, polyadenylated RNA of length > 200 nucleotides (gene biotypes accessible by 3’ mRNA sequencing technologies) to increase mapping specificity.",GPL16791,"Ashley,M,Laughney",ashley.laughney@gmail.com,Laughney Lab,"Physiology, Biophysics and Systems Biology",Weill Cornell Medicine,413 East 69th Street,NEW YORK,New York,10021,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10600750,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3516nnn/GSM3516665/suppl/GSM3516665_MSK_LX675_PRIMARY_TUMOUR_dense.csv.gz,GSE123902,0
GSM3516666,MSK_LX675_NORMAL,Public on Jan 14 2020,Dec 16 2018,Jan 14 2020,SRA,1,Patient adjacent non-tumour involved lung,Homo sapiens,9606,tissue: Patient adjacent non-tumour involved lung,polyA RNA,"Non-involved lung, tumour tissues, and metastatic lesions were obtained from patients with lung adenocarcinoma undergoing resection surgery at Memorial Sloan Kettering Cancer Center (MSKCC, New York, NY) after obtaining informed consent. Tissue samples were immediately placed in RPMI media (Corning) or Hypothermosol on ice and dissociated using both mechanical and enzymatic digestion (Human Tumour Dissociation Kit #130-095-929, Miltenyi Biotec), generally within 1 h of surgical resection. Tissues were minced with a razor blade in the Miltenyi enzyme mix according to the manufacturer’s specifications and transferred to a Gentle MACS Octo Dissociator with heaters (# 30-096-427, 37°C) for further mechanical dissociation. Upon completion, cell suspensions were passed through a 70 µm filter and washed twice with FACS buffer (2% heat-inactivated FBS, 1 mM EDTA and Pen/Strep in PBS without Ca or Mg). Red blood cells were lysed in Red Blood Cell Lysis Solution (ACK lysis buffer) once or twice depending on red blood cell content, and final single-cell suspensions were made in Hanks’ Balanced Salt Solution (HBSS). For scRNA-seq, the remaining cell suspensions were subsequently flow sorted with a BD FACSAria II cell sorter fitted with a 100 µM nozzle to enrich for viable, single cells according to forward and side scattering, and DAPI exclusion. Cells were sorted directly into RPMI media with 10% FBS, washed thrice and re-suspend in PBS with 0.04% BSA for single cell encapsulation.",Barcoded single cells,"The Sequence Quality Control (SEQC) package18 was utilized for de-multiplexing, STAR alignment, implementation of cell barcode and multi-alignment correction, and the generation of a raw digital expression matrix by collapsing groups of reads with the same unique molecular identifier (UMI), cell barcode and gene annotation. Alignment to the hg38 annotation was restricted to transcribed, polyadenylated RNA of length > 200 nucleotides (gene biotypes accessible by 3’ mRNA sequencing technologies) to increase mapping specificity.",GPL16791,"Ashley,M,Laughney",ashley.laughney@gmail.com,Laughney Lab,"Physiology, Biophysics and Systems Biology",Weill Cornell Medicine,413 East 69th Street,NEW YORK,New York,10021,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10600749,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3516nnn/GSM3516666/suppl/GSM3516666_MSK_LX675_NORMAL_dense.csv.gz,GSE123902,0
GSM3516667,MSK_LX676_PRIMARY_TUMOUR,Public on Jan 14 2020,Dec 16 2018,Jan 14 2020,SRA,1,Patient primary lung adenocarcinoma,Homo sapiens,9606,tissue: Patient primary lung adenocarcinoma,polyA RNA,"Non-involved lung, tumour tissues, and metastatic lesions were obtained from patients with lung adenocarcinoma undergoing resection surgery at Memorial Sloan Kettering Cancer Center (MSKCC, New York, NY) after obtaining informed consent. Tissue samples were immediately placed in RPMI media (Corning) or Hypothermosol on ice and dissociated using both mechanical and enzymatic digestion (Human Tumour Dissociation Kit #130-095-929, Miltenyi Biotec), generally within 1 h of surgical resection. Tissues were minced with a razor blade in the Miltenyi enzyme mix according to the manufacturer’s specifications and transferred to a Gentle MACS Octo Dissociator with heaters (# 30-096-427, 37°C) for further mechanical dissociation. Upon completion, cell suspensions were passed through a 70 µm filter and washed twice with FACS buffer (2% heat-inactivated FBS, 1 mM EDTA and Pen/Strep in PBS without Ca or Mg). Red blood cells were lysed in Red Blood Cell Lysis Solution (ACK lysis buffer) once or twice depending on red blood cell content, and final single-cell suspensions were made in Hanks’ Balanced Salt Solution (HBSS). For scRNA-seq, the remaining cell suspensions were subsequently flow sorted with a BD FACSAria II cell sorter fitted with a 100 µM nozzle to enrich for viable, single cells according to forward and side scattering, and DAPI exclusion. Cells were sorted directly into RPMI media with 10% FBS, washed thrice and re-suspend in PBS with 0.04% BSA for single cell encapsulation.",Barcoded single cells,"The Sequence Quality Control (SEQC) package18 was utilized for de-multiplexing, STAR alignment, implementation of cell barcode and multi-alignment correction, and the generation of a raw digital expression matrix by collapsing groups of reads with the same unique molecular identifier (UMI), cell barcode and gene annotation. Alignment to the hg38 annotation was restricted to transcribed, polyadenylated RNA of length > 200 nucleotides (gene biotypes accessible by 3’ mRNA sequencing technologies) to increase mapping specificity.",GPL16791,"Ashley,M,Laughney",ashley.laughney@gmail.com,Laughney Lab,"Physiology, Biophysics and Systems Biology",Weill Cornell Medicine,413 East 69th Street,NEW YORK,New York,10021,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10600748,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3516nnn/GSM3516667/suppl/GSM3516667_MSK_LX676_PRIMARY_TUMOUR_dense.csv.gz,GSE123902,0
GSM3516668,MSK_LX255B_METASTASIS,Public on Jan 14 2020,Dec 16 2018,Jan 14 2020,SRA,1,Patient primary lung adenocarcinoma metastasis to BRAIN,Homo sapiens,9606,tissue: Patient primary lung adenocarcinoma metastasis to BRAIN,polyA RNA,"Non-involved lung, tumour tissues, and metastatic lesions were obtained from patients with lung adenocarcinoma undergoing resection surgery at Memorial Sloan Kettering Cancer Center (MSKCC, New York, NY) after obtaining informed consent. Tissue samples were immediately placed in RPMI media (Corning) or Hypothermosol on ice and dissociated using both mechanical and enzymatic digestion (Human Tumour Dissociation Kit #130-095-929, Miltenyi Biotec), generally within 1 h of surgical resection. Tissues were minced with a razor blade in the Miltenyi enzyme mix according to the manufacturer’s specifications and transferred to a Gentle MACS Octo Dissociator with heaters (# 30-096-427, 37°C) for further mechanical dissociation. Upon completion, cell suspensions were passed through a 70 µm filter and washed twice with FACS buffer (2% heat-inactivated FBS, 1 mM EDTA and Pen/Strep in PBS without Ca or Mg). Red blood cells were lysed in Red Blood Cell Lysis Solution (ACK lysis buffer) once or twice depending on red blood cell content, and final single-cell suspensions were made in Hanks’ Balanced Salt Solution (HBSS). For scRNA-seq, the remaining cell suspensions were subsequently flow sorted with a BD FACSAria II cell sorter fitted with a 100 µM nozzle to enrich for viable, single cells according to forward and side scattering, and DAPI exclusion. Cells were sorted directly into RPMI media with 10% FBS, washed thrice and re-suspend in PBS with 0.04% BSA for single cell encapsulation.",Barcoded single cells,"The Sequence Quality Control (SEQC) package18 was utilized for de-multiplexing, STAR alignment, implementation of cell barcode and multi-alignment correction, and the generation of a raw digital expression matrix by collapsing groups of reads with the same unique molecular identifier (UMI), cell barcode and gene annotation. Alignment to the hg38 annotation was restricted to transcribed, polyadenylated RNA of length > 200 nucleotides (gene biotypes accessible by 3’ mRNA sequencing technologies) to increase mapping specificity.",GPL16791,"Ashley,M,Laughney",ashley.laughney@gmail.com,Laughney Lab,"Physiology, Biophysics and Systems Biology",Weill Cornell Medicine,413 East 69th Street,NEW YORK,New York,10021,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10600747,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3516nnn/GSM3516668/suppl/GSM3516668_MSK_LX255B_METASTASIS_dense.csv.gz,GSE123902,0
GSM3516669,MSK_LX679_PRIMARY_TUMOUR,Public on Jan 14 2020,Dec 16 2018,Jan 14 2020,SRA,1,Patient primary lung adenocarcinoma,Homo sapiens,9606,tissue: Patient primary lung adenocarcinoma,polyA RNA,"Non-involved lung, tumour tissues, and metastatic lesions were obtained from patients with lung adenocarcinoma undergoing resection surgery at Memorial Sloan Kettering Cancer Center (MSKCC, New York, NY) after obtaining informed consent. Tissue samples were immediately placed in RPMI media (Corning) or Hypothermosol on ice and dissociated using both mechanical and enzymatic digestion (Human Tumour Dissociation Kit #130-095-929, Miltenyi Biotec), generally within 1 h of surgical resection. Tissues were minced with a razor blade in the Miltenyi enzyme mix according to the manufacturer’s specifications and transferred to a Gentle MACS Octo Dissociator with heaters (# 30-096-427, 37°C) for further mechanical dissociation. Upon completion, cell suspensions were passed through a 70 µm filter and washed twice with FACS buffer (2% heat-inactivated FBS, 1 mM EDTA and Pen/Strep in PBS without Ca or Mg). Red blood cells were lysed in Red Blood Cell Lysis Solution (ACK lysis buffer) once or twice depending on red blood cell content, and final single-cell suspensions were made in Hanks’ Balanced Salt Solution (HBSS). For scRNA-seq, the remaining cell suspensions were subsequently flow sorted with a BD FACSAria II cell sorter fitted with a 100 µM nozzle to enrich for viable, single cells according to forward and side scattering, and DAPI exclusion. Cells were sorted directly into RPMI media with 10% FBS, washed thrice and re-suspend in PBS with 0.04% BSA for single cell encapsulation.",Barcoded single cells,"The Sequence Quality Control (SEQC) package18 was utilized for de-multiplexing, STAR alignment, implementation of cell barcode and multi-alignment correction, and the generation of a raw digital expression matrix by collapsing groups of reads with the same unique molecular identifier (UMI), cell barcode and gene annotation. Alignment to the hg38 annotation was restricted to transcribed, polyadenylated RNA of length > 200 nucleotides (gene biotypes accessible by 3’ mRNA sequencing technologies) to increase mapping specificity.",GPL16791,"Ashley,M,Laughney",ashley.laughney@gmail.com,Laughney Lab,"Physiology, Biophysics and Systems Biology",Weill Cornell Medicine,413 East 69th Street,NEW YORK,New York,10021,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10600746,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3516nnn/GSM3516669/suppl/GSM3516669_MSK_LX679_PRIMARY_TUMOUR_dense.csv.gz,GSE123902,0
GSM3516670,MSK_LX680_PRIMARY_TUMOUR,Public on Jan 14 2020,Dec 16 2018,Jan 14 2020,SRA,1,Patient primary lung adenocarcinoma,Homo sapiens,9606,tissue: Patient primary lung adenocarcinoma,polyA RNA,"Non-involved lung, tumour tissues, and metastatic lesions were obtained from patients with lung adenocarcinoma undergoing resection surgery at Memorial Sloan Kettering Cancer Center (MSKCC, New York, NY) after obtaining informed consent. Tissue samples were immediately placed in RPMI media (Corning) or Hypothermosol on ice and dissociated using both mechanical and enzymatic digestion (Human Tumour Dissociation Kit #130-095-929, Miltenyi Biotec), generally within 1 h of surgical resection. Tissues were minced with a razor blade in the Miltenyi enzyme mix according to the manufacturer’s specifications and transferred to a Gentle MACS Octo Dissociator with heaters (# 30-096-427, 37°C) for further mechanical dissociation. Upon completion, cell suspensions were passed through a 70 µm filter and washed twice with FACS buffer (2% heat-inactivated FBS, 1 mM EDTA and Pen/Strep in PBS without Ca or Mg). Red blood cells were lysed in Red Blood Cell Lysis Solution (ACK lysis buffer) once or twice depending on red blood cell content, and final single-cell suspensions were made in Hanks’ Balanced Salt Solution (HBSS). For scRNA-seq, the remaining cell suspensions were subsequently flow sorted with a BD FACSAria II cell sorter fitted with a 100 µM nozzle to enrich for viable, single cells according to forward and side scattering, and DAPI exclusion. Cells were sorted directly into RPMI media with 10% FBS, washed thrice and re-suspend in PBS with 0.04% BSA for single cell encapsulation.",Barcoded single cells,"The Sequence Quality Control (SEQC) package18 was utilized for de-multiplexing, STAR alignment, implementation of cell barcode and multi-alignment correction, and the generation of a raw digital expression matrix by collapsing groups of reads with the same unique molecular identifier (UMI), cell barcode and gene annotation. Alignment to the hg38 annotation was restricted to transcribed, polyadenylated RNA of length > 200 nucleotides (gene biotypes accessible by 3’ mRNA sequencing technologies) to increase mapping specificity.",GPL16791,"Ashley,M,Laughney",ashley.laughney@gmail.com,Laughney Lab,"Physiology, Biophysics and Systems Biology",Weill Cornell Medicine,413 East 69th Street,NEW YORK,New York,10021,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10600745,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3516nnn/GSM3516670/suppl/GSM3516670_MSK_LX680_PRIMARY_TUMOUR_dense.csv.gz,GSE123902,0
GSM3516671,MSK_LX681_METASTASIS,Public on Jan 14 2020,Dec 16 2018,Jan 14 2020,SRA,1,Patient primary lung adenocarcinoma metastasis to BRAIN,Homo sapiens,9606,tissue: Patient primary lung adenocarcinoma metastasis to BRAIN,polyA RNA,"Non-involved lung, tumour tissues, and metastatic lesions were obtained from patients with lung adenocarcinoma undergoing resection surgery at Memorial Sloan Kettering Cancer Center (MSKCC, New York, NY) after obtaining informed consent. Tissue samples were immediately placed in RPMI media (Corning) or Hypothermosol on ice and dissociated using both mechanical and enzymatic digestion (Human Tumour Dissociation Kit #130-095-929, Miltenyi Biotec), generally within 1 h of surgical resection. Tissues were minced with a razor blade in the Miltenyi enzyme mix according to the manufacturer’s specifications and transferred to a Gentle MACS Octo Dissociator with heaters (# 30-096-427, 37°C) for further mechanical dissociation. Upon completion, cell suspensions were passed through a 70 µm filter and washed twice with FACS buffer (2% heat-inactivated FBS, 1 mM EDTA and Pen/Strep in PBS without Ca or Mg). Red blood cells were lysed in Red Blood Cell Lysis Solution (ACK lysis buffer) once or twice depending on red blood cell content, and final single-cell suspensions were made in Hanks’ Balanced Salt Solution (HBSS). For scRNA-seq, the remaining cell suspensions were subsequently flow sorted with a BD FACSAria II cell sorter fitted with a 100 µM nozzle to enrich for viable, single cells according to forward and side scattering, and DAPI exclusion. Cells were sorted directly into RPMI media with 10% FBS, washed thrice and re-suspend in PBS with 0.04% BSA for single cell encapsulation.",Barcoded single cells,"The Sequence Quality Control (SEQC) package18 was utilized for de-multiplexing, STAR alignment, implementation of cell barcode and multi-alignment correction, and the generation of a raw digital expression matrix by collapsing groups of reads with the same unique molecular identifier (UMI), cell barcode and gene annotation. Alignment to the hg38 annotation was restricted to transcribed, polyadenylated RNA of length > 200 nucleotides (gene biotypes accessible by 3’ mRNA sequencing technologies) to increase mapping specificity.",GPL16791,"Ashley,M,Laughney",ashley.laughney@gmail.com,Laughney Lab,"Physiology, Biophysics and Systems Biology",Weill Cornell Medicine,413 East 69th Street,NEW YORK,New York,10021,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10600744,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3516nnn/GSM3516671/suppl/GSM3516671_MSK_LX681_METASTASIS_dense.csv.gz,GSE123902,0
